layer,submodule,rel_in,rel_out,err_in_per_resid,err_out_per_resid,abs_err_in,abs_err_out
24,self_attn.v_proj,1.425308e-02,1.412694e-02,1.008016e-03,1.183932e-03,1.741759e+00,2.001748e+00
24,self_attn.o_proj,2.587743e-02,2.350652e-02,4.135267e-04,5.004693e-04,7.207536e-01,8.695551e-01
24,post_attention_layernorm,2.522809e-01,1.512463e-02,2.524100e-01,7.888587e-04,7.171237e+02,1.353930e+00
24,mlp.gate_proj,1.512463e-02,1.276039e-02,7.888587e-04,1.729533e-03,1.353930e+00,2.948610e+00
24,mlp.up_proj,1.512463e-02,1.426380e-02,7.888587e-04,1.588106e-03,1.353930e+00,2.702622e+00
24,mlp.down_proj,1.780304e-02,1.806366e-02,5.916720e-04,7.215786e-04,9.919459e-01,1.206558e+00
24,mlp,1.512463e-02,1.806366e-02,7.888587e-04,7.215786e-04,1.353930e+00,1.206558e+00
25,input_layernorm,2.521052e-01,1.458968e-02,2.521052e-01,1.073432e-03,7.171284e+02,1.863895e+00
25,self_attn.q_proj,1.458968e-02,8.867523e-03,1.073432e-03,1.658864e-03,1.863895e+00,2.892360e+00
25,self_attn.k_proj,1.458968e-02,8.324760e-03,1.073432e-03,1.676377e-03,1.863895e+00,2.924955e+00
25,self_attn.v_proj,1.458968e-02,1.457778e-02,1.073432e-03,1.315063e-03,1.863895e+00,2.240971e+00
25,self_attn.o_proj,3.766635e-02,3.355434e-02,3.893660e-04,4.698124e-04,7.115000e-01,8.588118e-01
25,post_attention_layernorm,2.520427e-01,1.524899e-02,2.521115e-01,8.126179e-04,7.171378e+02,1.405692e+00
25,mlp.gate_proj,1.524899e-02,1.272336e-02,8.126179e-04,1.783311e-03,1.405692e+00,3.067638e+00
25,mlp.up_proj,1.524899e-02,1.441820e-02,8.126179e-04,1.643492e-03,1.405692e+00,2.817244e+00
25,mlp.down_proj,1.864808e-02,1.897010e-02,6.289236e-04,7.685354e-04,1.072242e+00,1.303067e+00
25,mlp,1.524899e-02,1.897010e-02,8.126179e-04,7.685354e-04,1.405692e+00,1.303067e+00
26,input_layernorm,2.518834e-01,1.477588e-02,2.518834e-01,1.057853e-03,7.171366e+02,1.848364e+00
26,self_attn.q_proj,1.477588e-02,8.808054e-03,1.057853e-03,1.636442e-03,1.848364e+00,2.883431e+00
26,self_attn.k_proj,1.477588e-02,8.070122e-03,1.057853e-03,1.672858e-03,1.848364e+00,2.925751e+00
26,self_attn.v_proj,1.477588e-02,1.468703e-02,1.057853e-03,1.312284e-03,1.848364e+00,2.250722e+00
26,self_attn.o_proj,2.778047e-02,2.643203e-02,4.759090e-04,6.094945e-04,8.718085e-01,1.121494e+00
26,post_attention_layernorm,2.517018e-01,1.554419e-02,2.518891e-01,8.412482e-04,7.171370e+02,1.466589e+00
26,mlp.gate_proj,1.554419e-02,1.258837e-02,8.412482e-04,1.850212e-03,1.466589e+00,3.217610e+00
26,mlp.up_proj,1.554419e-02,1.429109e-02,8.412482e-04,1.705260e-03,1.466589e+00,2.947767e+00
26,mlp.down_proj,1.851301e-02,1.892250e-02,6.653781e-04,8.099075e-04,1.127277e+00,1.368714e+00
26,mlp,1.554419e-02,1.892250e-02,8.412482e-04,8.099075e-04,1.466589e+00,1.368714e+00
27,input_layernorm,2.515340e-01,1.532886e-02,2.515340e-01,1.086258e-03,7.171434e+02,1.907671e+00
27,self_attn.q_proj,1.532886e-02,8.815166e-03,1.086258e-03,1.708373e-03,1.907671e+00,2.996080e+00
27,self_attn.k_proj,1.532886e-02,8.118973e-03,1.086258e-03,1.724337e-03,1.907671e+00,2.997595e+00
27,self_attn.v_proj,1.532886e-02,1.530282e-02,1.086258e-03,1.380378e-03,1.907671e+00,2.390258e+00
27,self_attn.o_proj,3.140462e-02,3.029705e-02,4.662012e-04,6.419375e-04,8.452242e-01,1.134495e+00
27,post_attention_layernorm,2.514210e-01,1.576823e-02,2.515389e-01,8.717934e-04,7.171473e+02,1.531091e+00
27,mlp.gate_proj,1.576823e-02,1.234157e-02,8.717934e-04,1.909206e-03,1.531091e+00,3.341351e+00
27,mlp.up_proj,1.576823e-02,1.389590e-02,8.717934e-04,1.771754e-03,1.531091e+00,3.083051e+00
27,mlp.down_proj,1.876397e-02,1.955607e-02,7.084312e-04,8.635147e-04,1.210942e+00,1.472467e+00
27,mlp,1.576823e-02,1.955607e-02,8.717934e-04,8.635147e-04,1.531091e+00,1.472467e+00
28,input_layernorm,2.513267e-01,1.564199e-02,2.513267e-01,1.110899e-03,7.171422e+02,1.969288e+00
28,self_attn.q_proj,1.564199e-02,9.059177e-03,1.110899e-03,1.716707e-03,1.969288e+00,3.058434e+00
28,self_attn.k_proj,1.564199e-02,8.339601e-03,1.110899e-03,1.712859e-03,1.969288e+00,3.035879e+00
28,self_attn.v_proj,1.564199e-02,1.538184e-02,1.110899e-03,1.457534e-03,1.969288e+00,2.542658e+00
28,self_attn.o_proj,3.543570e-02,3.116748e-02,5.095738e-04,7.261202e-04,9.267505e-01,1.292513e+00
28,post_attention_layernorm,2.511987e-01,1.617502e-02,2.513407e-01,9.056653e-04,7.171589e+02,1.601831e+00
28,mlp.gate_proj,1.617502e-02,1.247074e-02,9.056653e-04,1.992093e-03,1.601831e+00,3.509239e+00
28,mlp.up_proj,1.617502e-02,1.331946e-02,9.056653e-04,1.876170e-03,1.601831e+00,3.290928e+00
28,mlp.down_proj,1.896796e-02,2.019838e-02,7.960960e-04,9.854866e-04,1.386887e+00,1.717671e+00
28,mlp,1.617502e-02,2.019838e-02,9.056653e-04,9.854866e-04,1.601831e+00,1.717671e+00
29,input_layernorm,2.509548e-01,1.610498e-02,2.509548e-01,1.085533e-03,7.171427e+02,1.945438e+00
29,self_attn.q_proj,1.610498e-02,9.250755e-03,1.085533e-03,1.678027e-03,1.945438e+00,3.008220e+00
29,self_attn.k_proj,1.610498e-02,8.468591e-03,1.085533e-03,1.741112e-03,1.945438e+00,3.073822e+00
29,self_attn.v_proj,1.610498e-02,1.587793e-02,1.085533e-03,1.420175e-03,1.945438e+00,2.494949e+00
29,self_attn.o_proj,3.711795e-02,3.140676e-02,4.912528e-04,6.756093e-04,9.018832e-01,1.234004e+00
29,post_attention_layernorm,2.508519e-01,1.650418e-02,2.509599e-01,9.308605e-04,7.171370e+02,1.664020e+00
29,mlp.gate_proj,1.650418e-02,1.244692e-02,9.308605e-04,2.083400e-03,1.664020e+00,3.737286e+00
29,mlp.up_proj,1.650418e-02,1.255632e-02,9.308605e-04,1.984743e-03,1.664020e+00,3.529952e+00
29,mlp.down_proj,7.939318e-02,1.329169e-01,2.784100e-03,6.914461e-03,7.117409e+00,1.862116e+01
29,mlp,1.650418e-02,1.329169e-01,9.308605e-04,6.914461e-03,1.664020e+00,1.862116e+01
30,input_layernorm,2.513123e-01,1.685143e-02,2.513123e-01,1.141763e-03,7.099394e+02,2.055743e+00
30,self_attn.q_proj,1.685143e-02,9.567186e-03,1.141763e-03,1.767804e-03,2.055743e+00,3.250463e+00
30,self_attn.k_proj,1.685143e-02,9.135412e-03,1.141763e-03,1.834560e-03,2.055743e+00,3.303244e+00
30,self_attn.v_proj,1.685143e-02,1.666862e-02,1.141763e-03,1.593001e-03,2.055743e+00,2.889806e+00
30,self_attn.o_proj,4.386283e-02,5.709825e-02,7.299102e-04,1.546785e-03,1.499346e+00,3.361035e+00
30,post_attention_layernorm,2.514570e-01,1.834445e-02,2.512536e-01,1.015356e-03,7.096552e+02,1.891177e+00
30,mlp.gate_proj,1.834445e-02,3.317664e-02,1.015356e-03,5.459960e-03,1.891177e+00,1.234642e+01
30,mlp.up_proj,1.834445e-02,3.527871e-02,1.015356e-03,5.628004e-03,1.891177e+00,1.282011e+01
30,mlp.down_proj,1.608017e-01,1.367017e-01,6.549015e-02,1.179047e-01,1.713707e+02,3.015832e+02
30,mlp,1.834445e-02,1.367017e-01,1.015356e-03,1.179047e-01,1.891177e+00,3.015832e+02
31,input_layernorm,7.628989e-01,1.469939e-01,7.628989e-01,2.679641e-02,4.239837e+02,1.483396e+01
31,self_attn.q_proj,1.469939e-01,2.242929e-01,2.679641e-02,1.353252e-01,1.483396e+01,7.492289e+01
31,self_attn.k_proj,1.469939e-01,1.155075e-01,2.679641e-02,7.540132e-02,1.483396e+01,4.163744e+01
31,self_attn.v_proj,1.469939e-01,2.569781e-01,2.679641e-02,6.826386e-02,1.483396e+01,3.778152e+01
31,self_attn.o_proj,4.016202e-01,6.171633e-01,4.535420e-02,3.357690e-01,2.518692e+01,1.864336e+02
31,post_attention_layernorm,5.251213e-01,1.959034e-01,4.461242e-01,3.317212e-02,2.481601e+02,1.842178e+01
31,mlp.gate_proj,1.959034e-01,1.584184e-01,3.317212e-02,1.305600e-01,1.842178e+01,7.249788e+01
31,mlp.up_proj,1.959034e-01,1.642304e-01,3.317212e-02,1.382805e-01,1.842178e+01,7.676373e+01
31,mlp.down_proj,2.166242e-01,1.942076e-01,1.188410e-01,2.003291e-01,6.613247e+01,1.114914e+02
31,mlp,1.959034e-01,1.942076e-01,3.317212e-02,2.003291e-01,1.842178e+01,1.114914e+02
