layer,submodule,rel_in,rel_out,err_in_per_resid,err_out_per_resid,abs_err_in,abs_err_out
8,mlp.down_proj,1.770530e-03,1.868134e-03,2.549911e-05,2.955100e-05,3.826609e-02,4.525138e-02
8,mlp,1.445909e-03,1.868134e-03,4.959104e-05,2.955100e-05,7.660962e-02,4.525138e-02
9,input_layernorm,6.495876e-04,1.253439e-03,6.495876e-04,7.684083e-05,1.458481e+00,1.200663e-01
9,self_attn.q_proj,1.253439e-03,7.618449e-04,7.684083e-05,1.548798e-04,1.200663e-01,2.420197e-01
9,self_attn.k_proj,1.253439e-03,6.582618e-04,7.684083e-05,1.608330e-04,1.200663e-01,2.520664e-01
9,self_attn.v_proj,1.253439e-03,1.295516e-03,7.684083e-05,7.681231e-05,1.200663e-01,1.210944e-01
9,self_attn.o_proj,1.884403e-03,2.087012e-03,2.075077e-05,1.950496e-05,3.353895e-02,3.155987e-02
9,post_attention_layernorm,6.608764e-04,1.454070e-03,6.609157e-04,5.095386e-05,1.467435e+00,7.973459e-02
9,mlp.gate_proj,1.454070e-03,1.116179e-03,5.095386e-05,1.129059e-04,7.973459e-02,1.775730e-01
9,mlp.up_proj,1.454070e-03,1.339530e-03,5.095386e-05,1.002357e-04,7.973459e-02,1.577125e-01
9,mlp.down_proj,1.818946e-03,1.921972e-03,2.411108e-05,2.961804e-05,3.803235e-02,4.680744e-02
9,mlp,1.454070e-03,1.921972e-03,5.095386e-05,2.961804e-05,7.973459e-02,4.680744e-02
10,input_layernorm,6.878645e-04,1.252822e-03,6.878645e-04,7.827703e-05,1.496385e+00,1.226929e-01
10,self_attn.q_proj,1.252822e-03,7.819604e-04,7.827703e-05,1.557323e-04,1.226929e-01,2.446949e-01
10,self_attn.k_proj,1.252822e-03,6.856836e-04,7.827703e-05,1.670302e-04,1.226929e-01,2.616553e-01
10,self_attn.v_proj,1.252822e-03,1.312758e-03,7.827703e-05,7.791398e-05,1.226929e-01,1.226096e-01
10,self_attn.o_proj,1.886042e-03,2.020995e-03,2.147600e-05,2.031772e-05,3.518055e-02,3.312073e-02
10,post_attention_layernorm,6.984224e-04,1.452384e-03,6.984576e-04,5.147495e-05,1.497116e+00,8.083442e-02
10,mlp.gate_proj,1.452384e-03,1.098799e-03,5.147495e-05,1.131789e-04,8.083442e-02,1.786151e-01
10,mlp.up_proj,1.452384e-03,1.316856e-03,5.147495e-05,1.019050e-04,8.083442e-02,1.609781e-01
10,mlp.down_proj,1.816461e-03,1.940891e-03,2.495614e-05,3.111501e-05,3.942970e-02,4.908150e-02
10,mlp,1.452384e-03,1.940891e-03,5.147495e-05,3.111501e-05,8.083442e-02,4.908150e-02
11,input_layernorm,7.250900e-04,1.265236e-03,7.250900e-04,8.544219e-05,1.528258e+00,1.343631e-01
11,self_attn.q_proj,1.265236e-03,7.825909e-04,8.544219e-05,1.581605e-04,1.343631e-01,2.493987e-01
11,self_attn.k_proj,1.265236e-03,7.065235e-04,8.544219e-05,1.681463e-04,1.343631e-01,2.642290e-01
11,self_attn.v_proj,1.265236e-03,1.357634e-03,8.544219e-05,9.034879e-05,1.343631e-01,1.423471e-01
11,self_attn.o_proj,2.072960e-03,2.283290e-03,2.268008e-05,2.302927e-05,3.708915e-02,3.718198e-02
11,post_attention_layernorm,7.544105e-04,1.480893e-03,7.544705e-04,5.386707e-05,1.553299e+00,8.482392e-02
11,mlp.gate_proj,1.480893e-03,1.088205e-03,5.386707e-05,1.156799e-04,8.482392e-02,1.829012e-01
11,mlp.up_proj,1.480893e-03,1.341325e-03,5.386707e-05,1.056509e-04,8.482392e-02,1.671439e-01
11,mlp.down_proj,1.816441e-03,1.940129e-03,2.591197e-05,3.243914e-05,4.107484e-02,5.151251e-02
11,mlp,1.480893e-03,1.940129e-03,5.386707e-05,3.243914e-05,8.482392e-02,5.151251e-02
12,input_layernorm,8.143595e-04,1.269160e-03,8.143595e-04,8.595380e-05,1.629885e+00,1.354154e-01
12,self_attn.q_proj,1.269160e-03,7.917192e-04,8.595380e-05,1.622883e-04,1.354154e-01,2.547118e-01
12,self_attn.k_proj,1.269160e-03,7.027356e-04,8.595380e-05,1.748225e-04,1.354154e-01,2.737166e-01
12,self_attn.v_proj,1.269160e-03,1.349815e-03,8.595380e-05,8.682939e-05,1.354154e-01,1.372429e-01
12,self_attn.o_proj,1.781402e-03,1.907582e-03,2.202761e-05,2.139811e-05,3.642729e-02,3.553422e-02
12,post_attention_layernorm,7.254014e-04,1.462285e-03,7.255293e-04,5.394504e-05,1.507249e+00,8.535367e-02
12,mlp.gate_proj,1.462285e-03,1.064282e-03,5.394504e-05,1.131079e-04,8.535367e-02,1.798499e-01
12,mlp.up_proj,1.462285e-03,1.322963e-03,5.394504e-05,1.061354e-04,8.535367e-02,1.688358e-01
